Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,Business,UGBA,Business Admin-Undergrad,101A,2,Microeconomic Analy,Aaron Bodoh-Creed,7953,6,21,11,15,33,10,2,,,,,,,,104
2015 Fall,Business,UGBA,Business Admin-Undergrad,101B,1,Macroeconomics,Steven Wood,7971,,5,10,12,8,5,5,4,7,,,,3,2,61
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,1,Intro Fin Account,Rada Brooks,7977,9,33,23,21,21,8,8,3,1,,,,,,131
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,2,Intro Fin Account,Rada Brooks,7995,7,11,16,15,5,5,1,3,1,,,,,,65
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,3,Intro Fin Account,Tiffany Rasmussen,8013,,16,35,30,22,14,5,4,,,,,,,133
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,4,Intro Fin Account,Tiffany Rasmussen,8022,,14,30,35,29,7,1,,,,,,,,131
2015 Fall,Business,UGBA,Business Admin-Undergrad,102B,1,Intro Manager Acct,Rada Brooks,8028,13,34,15,19,20,9,4,7,2,,,,,,129
2015 Fall,Business,UGBA,Business Admin-Undergrad,103,1,Intro To Finance,Dmitry Livdan,8037,12,24,18,19,18,9,8,4,2,,,,4,,128
2015 Fall,Business,UGBA,Business Admin-Undergrad,103,2,Intro To Finance,Dmitry Livdan,8061,10,38,22,18,16,8,2,4,7,,,,4,1,141
2015 Fall,Business,UGBA,Business Admin-Undergrad,104,1,Sprdsheetmodeling,Terrence Hendershott; Thomas Lee,8085,9,74,45,45,34,17,2,3,,,,,5,,259
2015 Fall,Business,UGBA,Business Admin-Undergrad,105,1,Leading People,Dana Carney,8118,20,51,30,34,58,14,6,6,,,,,,,233
2015 Fall,Business,UGBA,Business Admin-Undergrad,106,1,Marketing,William Fanning,8133,,48,35,53,30,14,13,4,5,,1,,,,205
2015 Fall,Business,UGBA,Business Admin-Undergrad,107,1,Soc & Pol Eth Env,Alan Ross,8154,4,32,56,75,48,10,5,4,3,,,,1,1,245
2015 Fall,Business,UGBA,Business Admin-Undergrad,115,1,Competitivestrategy,Frank Schultz,8175,,6,13,11,1,,1,,,,,,,1,33
2015 Fall,Business,UGBA,Business Admin-Undergrad,118,1,International Trade,Steven Wood,8178,,12,6,3,2,1,2,1,,,,,,1,29
2015 Fall,Business,UGBA,Business Admin-Undergrad,119,1,Leading Strat Imple,Frank Schultz,8183,,4,19,9,,1,,,,,,,,,33
2015 Fall,Business,UGBA,Business Admin-Undergrad,120AA,1,Int Fin Acct 1,Francis Stanton,8184,6,27,9,,9,3,,,,,,,,,59
2015 Fall,Business,UGBA,Business Admin-Undergrad,120AB,1,Int Fin Accnting 2,Francis Stanton,8193,5,20,8,,10,3,,,,,,,1,,54
